file,N_Models,Calls,CPU_Time,Time,Solving,First_Model,Unsat,Cars,Three_Cell_Car,Two_Cell_Car,Moves,Empty_Cells,Occupied_Cells,Choices,Conflicts,Restarts,Binary,Ternary,Heuristic 
"input_beginner_2.asp",1,17,0.629,0.222,0.07,0.01,0.06,6,3,3,17,21,15,11169,4569,18,72.1,20.9,0
"input_beginner_3.asp",1,17,2.635,0.596,0.39,0.14,0.24,10,1,9,17,15,21,30258,12508,49,72.2,21.3,0
"input_beginner_4.asp",1,16,1.804,0.486,0.23,0.08,0.15,10,2,8,16,14,22,26026,9942,36,72.3,20.9,0
"input_beginner_5.asp",1,16,1.431,0.39,0.18,0.04,0.13,10,4,6,16,12,24,22921,8310,34,72.3,20.5,0
"input_beginner_6.asp",1,16,0.594,0.247,0.06,0.02,0.05,10,3,7,16,13,23,10189,3215,12,72.9,20.3,0
"input_beginner_7.asp",1,16,1.146,0.31,0.14,0.02,0.11,10,3,7,16,13,23,22357,6850,29,72.1,20.9,0
"input_beginner_8.asp",1,16,2.739,0.59,0.36,0.07,0.28,10,2,8,16,14,22,40438,14222,59,71.7,21.5,0
"input_beginner_9.asp",1,16,7.142,1.306,1.04,0.16,0.88,10,1,9,16,15,21,75944,42174,151,69.5,25,0
"input_beginner_10.asp",1,16,0.363,0.237,0.04,0,0.04,11,2,9,16,12,24,3133,945,1,71.6,22.2,0
"input_expert_11.asp",1,5,0.044,0.074,0.01,0,0.01,11,1,10,5,13,23,69,18,1,73.2,19.9,0
"input_expert_12.asp",1,42,367.853,52.042,50.52,10.27,40.24,13,2,11,42,8,28,1.81395e+06,843547,1466,72.2,21.4,0
"input_expert_13.asp",1,28,74.636,10.31,9.67,1.96,7.71,12,1,11,28,11,25,508649,241565,587,72,21.5,0
"input_expert_14.asp",1,4,0.029,0.027,0,0,0,12,2,10,4,10,26,30,4,587,72.6,19.9,0
"input_expert_15.asp",1,23,11.066,1.815,1.44,0.36,1.07,12,2,10,23,10,26,99226,36168,135,72.6,20.8,0
"input_expert_16.asp",1,45,1307.98,178.947,176.7,24.96,151.71,12,2,10,45,10,26,4.72665e+06,2.49556e+06,3509,70.9,22.2,0
"input_expert_17.asp",1,43,1456.96,197.994,195.93,15.25,180.67,11,4,7,43,10,26,4.98809e+06,2.79056e+06,3787,72.2,20.7,0
"input_expert_18.asp",1,41,112.218,15.774,14.5,1.25,13.24,12,4,8,41,8,28,662600,309601,775,69.4,24,0
"input_expert_19.asp",1,5,0.04,0.034,0,0,0,12,1,11,5,11,25,163,33,775,73.6,19.2,0
"input_expert_20.asp",1,44,1771.22,241.889,239.93,30.21,209.68,11,3,8,44,11,25,6.638e+06,3.41645e+06,4003,73,20,0
"input_expert_21.asp",1,44,550.78,86.108,84.05,8.28,75.76,11,3,8,44,11,25,2.32148e+06,939201,1551,74.2,19,0
"input_expert_22.asp",1,26,105.272,15.218,14.61,5.03,9.58,11,2,9,26,12,24,752513,426787,731,71.9,21.3,0
"input_expert_23.asp",1,3,0.02,0.019,0,0,0,12,2,10,3,10,26,0,0,731,71.9,19.7,0
"input_expert_24.asp",1,5,0.052,0.041,0,0,0,13,0,13,5,10,26,284,59,731,73.8,19.4,0
"input_expert_25.asp",1,43,119.553,17.533,16.03,0.93,15.1,13,3,10,43,7,29,599166,225485,692,69.5,24.2,0
"input_expert_26.asp",1,6,0.058,0.048,0,0,0,13,1,12,6,9,27,86,49,692,74.1,19,0
"input_expert_27.asp",1,5,0.049,0.039,0,0,0,13,1,12,5,9,27,387,64,692,73.8,19.4,0
"input_expert_28.asp",1,40,1210.57,163.182,161.32,36.12,125.16,13,1,12,40,9,27,4.65488e+06,2.12851e+06,2712,73.8,19.5,0
"input_expert_29.asp",1,44,4489.02,631.196,628.47,70.57,557.88,13,2,11,44,8,28,1.28311e+07,7.13023e+06,7049,70.7,22.6,0
"input_expert_30.asp",1,43,672.271,765.556,763.71,8.8,754.9,11,2,9,43,12,24,2.83793e+06,1.43227e+06,2298,72.8,20.2,0
"input_expert_31.asp",1,19,2.947,0.631,0.39,0.13,0.25,12,0,12,19,12,24,41186,14366,59,72.5,21.1,0
"input_expert_32.asp",1,8,0.139,0.094,0.01,0,0.01,12,1,11,8,11,25,860,279,59,73.7,19.5,0
"input_expert_33.asp",1,28,123.063,17.133,16.3,0.41,15.89,12,3,9,28,9,27,758706,414941,793,72.1,21.1,0
"input_expert_34.asp",1,41,3403.89,2304.54,2302.42,85.05,2217.34,13,2,11,41,8,28,9.62088e+06,5.33874e+06,6278,71.4,21.7,0
"input_expert_35.asp",1,9,0.133,0.084,0.01,0,0.01,11,1,10,9,13,23,996,339,6278,73.2,20.4,0
"input_expert_36.asp",1,21,15.955,2.571,2.18,0.05,2.14,11,2,9,21,12,24,148965,74105,241,70.9,22.7,0
"input_expert_37.asp",1,45,407.88,54.739,52.89,5.65,47.23,12,3,9,45,9,27,1.62804e+06,657628,1406,72.2,21.1,0
"input_expert_38.asp",1,39,415.851,58.38,56.9,5.56,51.34,13,1,12,39,9,27,2.11479e+06,906626,1725,71.9,21.4,0
"input_expert_39.asp",1,6,0.063,0.05,0,0,0,12,1,11,6,11,25,192,84,1725,72.9,20.3,0
"input_expert_40.asp",1,18,0.915,0.305,0.1,0.03,0.07,12,2,10,18,10,26,20133,4190,14,71.6,21.7,0
"input_expert_41.asp",1,44,274.311,39.53,37.88,6.14,31.73,13,2,11,44,8,28,1.29166e+06,572372,1208,69.9,23.8,0
"input_expert_42.asp",1,43,895.112,124.502,122.59,24.68,97.88,12,2,10,43,10,26,3.0575e+06,1.47081e+06,1929,74.5,18.5,0
"input_expert_43.asp",1,16,0.881,0.275,0.11,0.03,0.08,11,1,10,16,13,23,11587,4500,16,72.1,21,0
"input_expert_44.asp",1,15,0.79,0.258,0.09,0.02,0.07,12,0,12,15,12,24,12087,3629,15,72.4,21.3,0
"input_expert_45.asp",1,28,88.941,13.594,12.76,1.28,11.48,11,2,9,28,12,24,591818,295236,733,71.6,21.5,0
"input_expert_46.asp",1,48,1220.92,169.402,166.96,21.26,145.68,12,1,11,48,11,25,3.94291e+06,1.9899e+06,2979,71.2,22.6,0
"input_expert_47.asp",1,3,0.019,0.018,0,0,0,10,1,9,3,15,21,4,0,2979,71.5,20.8,0
"input_expert_48.asp",1,11,0.243,0.12,0.02,0.01,0.02,12,1,11,11,11,25,3571,935,2979,74.2,18.5,0
"input_expert_49.asp",1,6,0.051,0.043,0,0,0,11,2,9,6,12,24,27,19,2979,74.1,18.7,0
"input_expert_50.asp",1,24,6.65,1.318,0.94,0.06,0.88,12,3,9,24,9,27,59855,26676,106,69.6,24.4,0
"input_expert_51.asp",1,12,0.273,0.148,0.03,0.01,0.02,13,2,11,12,8,28,4209,888,1,71.1,22.7,0
"input_expert_52.asp",1,41,344.642,47.273,45.95,9.62,36.31,11,2,9,41,12,24,1.65866e+06,815513,1414,72.6,20.6,0
"input_expert_53.asp",1,6,0.062,0.046,0,0,0,12,2,10,6,10,26,606,159,1414,74,18.6,0
"input_expert_54.asp",1,18,6.117,1.129,0.84,0.3,0.53,13,1,12,18,9,27,57894,29371,111,72.9,20.4,0
"input_expert_55.asp",1,44,281.592,39.621,38.12,1.93,36.18,12,4,8,44,8,28,1.32663e+06,589223,1219,71.7,21.3,0
"input_expert_56.asp",1,19,1.32,0.369,0.15,0.03,0.13,10,4,6,19,12,24,22247,7470,28,72.9,20,0
"input_expert_57.asp",1,46,1546.39,210.334,207.91,18.99,188.9,13,2,11,46,8,28,4.64105e+06,2.26954e+06,2697,72.1,21.4,0
"input_expert_58.asp",1,29,191.587,26.947,26.06,1.6,24.45,12,2,10,29,10,26,1.038e+06,572718,1100,71.8,21.4,0
"input_expert_59.asp",1,42,236.01,31.306,30.09,3.88,26.21,12,4,8,42,8,28,1.22413e+06,544991,1097,72.8,20.4,0
"input_expert_60.asp",1,44,1552.26,213.574,211.47,18.7,192.75,12,3,9,44,9,27,4.81093e+06,2.51217e+06,3494,73,20.1,0
